loss,categorical_accuracy,val_loss,val_categorical_accuracy
1.770962993407333,0.5323754549026489,1.324544416533576,0.6414814591407776
1.1050897827244464,0.7227815985679626,0.9071530942563657,0.7819753289222717
0.7982792134656668,0.8117057085037231,0.6818894876374139,0.8345679044723511
0.624939653078805,0.8444017171859741,0.5521814900415914,0.8550617098808289
0.5211458132674028,0.8608062863349915,0.47989112801022,0.8676543235778809
0.4555830098288215,0.8739676475524902,0.4196517224665041,0.8814814686775208
0.40709134894523813,0.8848286271095276,0.3838585648271773,0.8935802578926086
0.37257854513202754,0.8948221802711487,0.3627123203542497,0.8972839713096619
0.34368455598143677,0.9016479849815369,0.333700696627299,0.9064197540283203
0.3225118198408532,0.9071539044380188,0.3191455039713118,0.9083950519561768
0.3033877553066148,0.9130746126174927,0.31108257119302396,0.9125925898551941
0.28784845717818586,0.9165064096450806,0.28169860166532024,0.9162963032722473
